year,stateFull,state,Affiliation
1984,RHODE ISLAND,RI,DIVIDED
1984,SOUTH CAROLINA,SC,REPUBLICAN
1984,SOUTH DAKOTA,SD,REPUBLICAN
1984,TENNESSEE,TN,REPUBLICAN
1984,TEXAS,TX,REPUBLICAN
1984,UTAH,UT,REPUBLICAN
1984,VERMONT,VT,REPUBLICAN
1984,VIRGINIA,VA,REPUBLICAN
1984,WASHINGTON,WA,REPUBLICAN
1984,WEST VIRGINIA,WV,REPUBLICAN
1984,WISCONSIN,WI,REPUBLICAN
1984,WYOMING,WY,REPUBLICAN
1988,ALABAMA,AL,REPUBLICAN
1988,ALASKA,AK,REPUBLICAN
1988,ARIZONA,AZ,REPUBLICAN
1988,ARKANSAS,AR,REPUBLICAN
1988,CALIFORNIA,CA,DIVIDED
1988,COLORADO,CO,REPUBLICAN
1988,CONNECTICUT,CT,REPUBLICAN
1988,DELAWARE,DE,REPUBLICAN
1988,DISTRICT OF COLUMBIA,DC,DEMOCRAT
1988,FLORIDA,FL,REPUBLICAN
1988,GEORGIA,GA,REPUBLICAN
1988,HAWAII,HI,DEMOCRAT
1988,IDAHO,ID,REPUBLICAN
1988,ILLINOIS,IL,DIVIDED
1988,INDIANA,IN,REPUBLICAN
1988,IOWA,IA,DEMOCRAT
1988,KANSAS,KS,REPUBLICAN
1988,KENTUCKY,KY,REPUBLICAN
1988,LOUISIANA,LA,REPUBLICAN
1988,MAINE,ME,REPUBLICAN
1988,MARYLAND,MD,DIVIDED
1988,MASSACHUSETTS,MA,DEMOCRAT
1988,MICHIGAN,MI,REPUBLICAN
1988,MINNESOTA,MN,DEMOCRAT
1988,MISSISSIPPI,MS,REPUBLICAN
1988,MISSOURI,MO,DIVIDED
1988,MONTANA,MT,REPUBLICAN
1988,NEBRASKA,NE,REPUBLICAN
1988,NEVADA,NV,REPUBLICAN
1988,NEW HAMPSHIRE,NH,REPUBLICAN
1988,NEW JERSEY,NJ,REPUBLICAN
1988,NEW MEXICO,NM,DIVIDED
1988,NEW YORK,NY,DEMOCRAT
1988,NORTH CAROLINA,NC,REPUBLICAN
1988,NORTH DAKOTA,ND,REPUBLICAN
1988,OHIO,OH,REPUBLICAN
1988,OKLAHOMA,OK,REPUBLICAN
1988,OREGON,OR,DIVIDED
1988,PENNSYLVANIA,PA,DIVIDED
1988,RHODE ISLAND,RI,DEMOCRAT
1988,SOUTH CAROLINA,SC,REPUBLICAN
1988,SOUTH DAKOTA,SD,REPUBLICAN
1988,TENNESSEE,TN,REPUBLICAN
