state,year,Age,PregnancyRate,AbortionRate,BirthRate,AbortionRatio,Pregnancies,Abortions,Births,Miscarriages,Population
AL,2011,<15,6.1,2.2,3.1,700.9,190,70,95,30,30905
AL,2011,15-17,30.6,5.1,20.8,242.7,2910,480,1983,440,95128
AL,2011,18-19,99.6,14.2,70,202.6,6580,940,4626,1020,66083
AL,2011,20-24,142.8,19.4,101.2,191.6,24820,3370,17591,3860,173800
AL,2011,25-29,150.2,15.2,111.3,136.1,23620,2380,17498,3740,157220
AL,2011,30-34,102.8,9.2,77.2,119,15900,1420,11949,2530,154766
AL,2011,35-39,41.6,4.8,30.3,157.7,6320,730,4600,990,151732
AL,2011,40>,9.1,1.4,6.3,217.3,1460,220,1012,220,160206
AL,2012,<15,5.3,1.8,2.8,636.4,170,60,88,20,31413
AL,2012,15-17,26.7,4.2,18.4,230.1,2510,400,1725,380,93914
AL,2012,18-19,97.4,12.8,69.4,184.9,6270,830,4470,980,64398
AL,2012,20-24,134.7,17.1,96.6,177.4,23860,3030,17100,3720,177100
AL,2012,25-29,148,14.2,110.3,128.4,23270,2230,17347,3690,157224
AL,2012,30-34,104.1,9.2,78.3,117.6,16230,1440,12211,2590,155930
AL,2012,35-39,41.7,4.7,30.5,153.8,6260,700,4574,990,150043
AL,2012,40>,8.6,1.5,5.8,254.9,1380,240,933,210,161327
AL,2013,<15,4.3,1.7,2,818.6,130,50,64,20,31524
AL,2013,15-17,22.1,3,15.7,192.6,2080,280,1471,320,93823
AL,2013,18-19,86.6,11.7,61.5,189.8,5520,740,3921,860,63803
AL,2013,20-24,134.7,16.2,97.4,166.7,23960,2890,17322,3750,177905
AL,2013,25-29,147.6,13.5,110.6,121.7,23320,2130,17480,3710,158005
AL,2013,30-34,103.6,8.3,78.7,105.9,16230,1310,12325,2600,156578
AL,2013,35-39,41.8,4.2,31,136.4,6250,630,4631,990,149526
AL,2013,40>,8.4,1.2,5.9,207.7,1360,200,953,210,161412
AL,2014,<15,3.6,1.1,2,546.6,120,30,64,20,32193
AL,2014,15-17,20.8,3.2,14.4,223.5,1960,300,1358,300,94220
AL,2014,18-19,82.3,10.9,58.6,185.7,5130,680,3651,800,62265
AL,2014,20-24,134.5,16.4,97,169.1,23690,2890,17092,3710,176143
AL,2014,25-29,151,13.7,113.3,121.3,24190,2200,18141,3850,160150
AL,2014,30-34,110.2,8.5,84.1,101.4,17280,1340,13176,2770,156749
AL,2014,35-39,44.5,4.4,33.1,131.8,6700,660,4980,1060,150438
AL,2014,40>,8.7,1.3,6,220.8,1390,210,960,210,159715
AL,2015,<15,3.1,1,1.6,610.8,100,30,52,10,31726
AL,2015,15-17,19.2,2.6,13.6,194.1,1830,250,1295,280,95249
AL,2015,18-19,78.1,10.3,55.7,184.8,4830,640,3444,750,61852
AL,2015,20-24,135.8,16.8,97.8,171.4,23320,2880,16794,3650,171773
AL,2015,25-29,150.5,13.3,113.2,117.9,24640,2180,18531,3920,163711
AL,2015,30-34,111.6,8.4,85.3,99,17390,1320,13287,2790,155773
AL,2015,35-39,46.4,4.3,34.7,125.2,7050,660,5272,1120,152021
AL,2015,40>,8.9,1.2,6.3,189.8,1380,190,982,220,156213
AL,2016,<15,2.9,0.9,1.6,571.4,90,30,48,10,30215
AL,2016,15-17,18.6,2.9,12.8,223.8,1780,280,1231,270,95841
AL,2016,18-19,73.1,9.2,52.4,176.2,4530,570,3249,710,61960
AL,2016,20-24,133.3,15.8,96.6,163,22160,2620,16066,3480,166262
AL,2016,25-29,148.4,13.7,111.1,123,24900,2290,18649,3960,167822
AL,2016,30-34,113.1,8.4,86.6,96.8,17560,1300,13440,2820,155261
AL,2016,35-39,47.3,4.1,35.7,115.7,7310,640,5505,1160,154324
AL,2016,40>,9.1,1.3,6.4,200.6,1370,190,963,210,151166
AL,2017,<15,2.8,1,1.5,660.2,80,30,44,10,30085
AL,2017,15-17,16.3,2.4,11.4,214,1540,230,1076,240,94528
AL,2017,18-19,71.2,9.2,50.8,181.9,4430,580,3165,690,62254
AL,2017,20-24,132.7,15.1,96.8,155.8,21640,2460,15780,3400,163072
AL,2017,25-29,146.5,13.2,110,120,25010,2250,18774,3980,170715
AL,2017,30-34,113.2,8.2,86.8,94.1,17500,1260,13425,2810,154630
AL,2017,35-39,48.4,4.4,36.3,120.6,7530,680,5647,1200,155452
AL,2017,40>,9.5,1.1,6.9,164.3,1420,170,1030,220,149348
AK,1988,<15,8.8,4.3,3.4,1240.9,30,20,13,NA,3795
AK,1988,15-17,59.5,23,28.5,805.7,700,270,334,90,11702
AK,1988,18-19,185.3,57.8,101.4,569.4,1280,400,702,180,6920
AK,1988,20-24,241.6,43.9,161.1,272.7,4730,860,3152,720,19566
AK,1988,25-29,210.8,25.2,152.5,165.4,4920,590,3562,770,23353
AK,1988,30-34,107.2,11.3,79,142.7,3280,350,2419,520,30614
AK,1988,35-39,50.2,6.9,35.5,194,1290,180,914,200,25727
AK,1988,40>,11.3,2.3,7.3,323.4,210,40,136,30,18755
AK,1992,<15,10.5,4.2,4.9,850.6,40,20,21,NA,4259
AK,1992,15-17,63,19.9,34.3,579.2,750,240,409,110,11923
AK,1992,18-19,188.9,46.2,115,402.1,1400,340,851,200,7399
AK,1992,20-24,291.5,56,191.6,292.2,4920,950,3237,740,16895
AK,1992,25-29,199.5,25.4,143,177.3,4650,590,3334,730,23317
AK,1992,30-34,114.4,12.7,83.7,152.1,3470,390,2540,550,30359
AK,1992,35-39,54.1,7.3,38.4,191.1,1600,220,1137,250,29635
AK,1992,40>,12.5,2.6,8.1,317.4,310,60,197,50,24427
AK,1996,<15,6.1,NA,3.2,NA,30,NA,16,NA,4942
AK,1996,15-17,45.3,12,26.7,450.1,630,170,370,90,13834
AK,1996,18-19,146.7,31.1,93.7,332.2,1140,240,726,170,7747
AK,1996,20-24,231.5,46.9,149.9,312.6,4110,830,2664,620,17767
AK,1996,25-29,204.8,27.2,145.7,186.7,3840,510,2734,600,18759
AK,1996,30-34,106.6,11.7,78,150.5,2990,330,2192,470,28087
AK,1996,35-39,48.5,5.5,35.4,155.8,1460,170,1062,230,30034
AK,1996,40>,13.6,1.9,9.6,198.1,390,50,273,60,28529
AK,2000,<15,5.6,2.3,2.6,902.3,30,10,14,NA,5458
AK,2000,15-17,37.8,7.9,24.2,327.3,590,120,381,90,15737
AK,2000,18-19,146.8,27.6,97.1,283.8,1180,220,781,180,8043
AK,2000,20-24,208.8,33,143.7,230,3930,620,2705,600,18825
AK,2000,25-29,181,21.1,131.5,160.1,3730,430,2712,590,20624
AK,2000,30-34,122.9,12.1,91.4,132.5,2740,270,2037,430,22298
AK,2000,35-39,53.5,5.9,39.1,151.3,1450,160,1059,230,27050
AK,2000,40>,14.1,1.9,10,191.4,400,50,285,60,28587
AK,2005,<15,5.1,2.3,2.1,1091.7,30,10,12,NA,5612
AK,2005,15-17,30.1,8.4,17.4,481.9,500,140,290,70,16686
AK,2005,18-19,128.1,28.8,80.3,359.1,1190,270,748,180,9316
AK,2005,20-24,189.8,31.4,129.3,243,4480,740,3051,680,23591
AK,2005,25-29,184.6,21.2,134.4,157.7,4000,460,2915,630,21690
AK,2005,30-34,129.8,12.4,96.8,128.1,2770,260,2062,440,21308
AK,2005,35-39,64.4,7.1,47.1,151.1,1440,160,1055,230,22382
AK,2005,40>,18.2,3.2,12.3,257.9,480,80,326,70,26611
AK,2006,<15,3.4,NA,NA,NA,20,NA,NA,NA,5328
AK,2006,15-17,30.8,7.7,18.6,417.1,520,130,314,80,16927
AK,2006,18-19,131,27.8,83.8,331.4,1230,260,787,180,9396
AK,2006,20-24,193.9,29.8,134.3,221.6,4700,720,3258,720,24261
AK,2006,25-29,187,21.5,136.1,157.7,4210,480,3068,660,22535
AK,2006,30-34,132.5,11.5,99.8,115.6,2780,240,2098,440,21020
AK,2006,35-39,69.4,7,51.5,136,1580,160,1170,250,22738
AK,2006,40>,16.3,2.3,11.5,199.5,420,60,293,60,25488
AK,2007,<15,2.9,NA,NA,NA,20,NA,NA,NA,5177
AK,2007,15-17,29.4,9,16.3,553.6,490,150,271,70,16654
AK,2007,18-19,134.1,23.7,90,263.9,1260,220,846,190,9401
AK,2007,20-24,193,26.8,136.3,196.7,4700,650,3316,730,24336
AK,2007,25-29,185,19.7,136.1,145.1,4330,460,3184,680,23398
AK,2007,30-34,133,12.3,99.6,123.3,2790,260,2089,440,20973
AK,2007,35-39,64.6,7.8,46.6,168.1,1460,180,1054,230,22611
AK,2007,40>,17.3,2.8,11.8,237.9,420,70,288,60,24314
AK,2008,<15,4.3,2.9,NA,2911.5,20,10,NA,NA,5064
AK,2008,15-17,32.7,9,19,476.2,520,140,301,70,15857
AK,2008,18-19,128.4,24.2,84.9,284.6,1260,240,834,190,9828
AK,2008,20-24,197.6,27.2,139.7,194.9,4740,650,3350,740,23984
AK,2008,25-29,188.3,19.2,139.3,137.8,4580,470,3388,720,24323
AK,2008,30-34,135.6,10.8,103.1,104.9,2880,230,2189,460,21240
AK,2008,35-39,66,7,48.5,144.6,1470,160,1084,230,22330
AK,2008,40>,18,2.7,12.6,211.6,420,60,291,60,23185
AK,2009,<15,3.6,NA,NA,NA,20,NA,NA,NA,4898
AK,2009,15-17,30.8,8,18.3,435,480,120,287,70,15644
AK,2009,18-19,124.6,23.6,82.2,286.8,1240,230,819,190,9958
AK,2009,20-24,185.4,27.7,129.1,214.2,4520,670,3146,700,24362
AK,2009,25-29,184.2,20.3,134.9,150.8,4660,510,3410,730,25283
AK,2009,30-34,135.5,11.2,102.7,108.7,2990,250,2268,480,22085
AK,2009,35-39,69.6,8.2,50.4,163,1550,180,1123,240,22268
AK,2009,40>,16.4,2.4,11.5,209.2,380,60,263,60,22908
AK,2010,<15,NA,NA,NA,NA,NA,NA,NA,NA,4922
AK,2010,15-17,29.5,9,16.4,548.1,450,140,251,60,15330
AK,2010,18-19,121.5,29.7,74,400.8,1160,280,705,170,9522
AK,2010,20-24,191.1,29.1,132.6,219.1,4770,730,3309,730,24958
AK,2010,25-29,177.1,18.6,130.6,142,4670,490,3447,740,26392
AK,2010,30-34,140.4,11.8,106.1,111.6,3250,270,2454,520,23122
AK,2010,35-39,62.7,6.9,46,149.3,1380,150,1013,220,22032
AK,2010,40>,17.9,2.4,12.7,190,400,50,287,60,22540
AK,2011,<15,3.4,NA,NA,NA,20,NA,NA,NA,4935
AK,2011,15-17,23.3,6.7,13.3,500,350,100,201,50,15092
AK,2011,18-19,118.8,26.5,74.7,355.2,1080,240,679,160,9094
AK,2011,20-24,182.4,27.5,126.8,216.7,4680,700,3252,720,25647
AK,2011,25-29,172.4,18.3,126.8,144.4,4700,500,3462,740,27295
AK,2011,30-34,134.2,10.7,102,104.7,3240,260,2460,520,24107
AK,2011,35-39,71.2,7.7,52.3,147.9,1530,170,1121,240,21447
AK,2011,40>,17.1,2.3,12.1,191.9,390,50,275,60,22655
AK,2012,<15,3.3,NA,NA,NA,20,NA,NA,NA,4864
AK,2012,15-17,20,4.9,12.2,399,300,70,182,40,14879
AK,2012,18-19,114.8,24.6,73.2,335.7,1000,210,635,150,8677
AK,2012,20-24,163.8,25.4,113.2,224.3,4310,670,2977,660,26292
AK,2012,25-29,166,17,122.8,138.3,4570,470,3380,720,27535
AK,2012,30-34,134.4,9.6,103.2,93.4,3350,240,2572,540,24932
AK,2012,35-39,70,7.7,51.3,150.5,1520,170,1113,240,21713
AK,2012,40>,19.6,2.3,14.3,160,440,50,322,70,22552
AK,2013,<15,4.4,2.3,NA,1394,20,10,NA,NA,4917
AK,2013,15-17,19.6,5.8,11.1,520.1,290,80,162,40,14632
AK,2013,18-19,96.1,17.6,64,274.6,820,150,546,120,8531
AK,2013,20-24,159.3,21.7,112.9,191.8,4230,570,2997,660,26551
AK,2013,25-29,170.4,17,126.5,134.1,4780,480,3547,760,28049
AK,2013,30-34,137.5,10.3,105.1,98.2,3550,270,2712,570,25795
AK,2013,35-39,71.1,6,53.8,111,1550,130,1172,250,21783
AK,2013,40>,18.8,2.3,13.6,172.3,420,50,302,70,22265
AK,2014,<15,3.2,NA,NA,NA,20,NA,NA,NA,4923
AK,2014,15-17,16,4,9.7,416.2,230,60,140,30,14466
AK,2014,18-19,93.4,18.8,60.6,309.8,780,160,505,120,8335
AK,2014,20-24,160.4,20.5,114.8,178.9,4160,530,2980,650,25951
AK,2014,25-29,167.3,15.5,125.2,123.9,4730,440,3536,750,28238
AK,2014,30-34,140,9.9,107.6,91.8,3700,260,2844,590,26432
AK,2014,35-39,67,5.6,50.7,111.3,1470,120,1115,240,21999
AK,2014,40>,17.8,2.8,12.3,228,380,60,265,60,21586
AK,2015,<15,NA,NA,NA,NA,NA,NA,NA,NA,4792
AK,2015,15-17,15.6,3.4,9.9,340.8,220,50,142,30,14369
AK,2015,18-19,95,15.8,64.7,243.8,760,130,520,120,8036
AK,2015,20-24,151.5,20.3,107.6,188.3,3830,510,2723,600,25296
AK,2015,25-29,164.6,14.6,123.8,118,4690,420,3525,750,28473
AK,2015,30-34,139.4,8.9,108,82,3730,240,2893,600,26786
AK,2015,35-39,72,6.2,54.4,113.4,1630,140,1230,260,22617
AK,2015,40>,16.8,2.5,11.8,210.8,350,50,246,50,20917
AK,2016,<15,2.8,NA,NA,NA,10,NA,NA,NA,4765
AK,2016,15-17,14.4,4.5,7.9,565.3,210,60,114,30,14383
AK,2016,18-19,84.7,13.1,58.6,223.3,680,100,469,100,8009
AK,2016,20-24,145.5,17.3,105.4,164.3,3540,420,2563,550,24318
AK,2016,25-29,161.9,14,122,114.9,4700,410,3546,750,29058
AK,2016,30-34,140.8,9.7,108.4,89.3,3850,260,2965,620,27341
AK,2016,35-39,72.6,5.8,55.2,104.5,1710,140,1299,270,23534
AK,2016,40>,17,2.3,12.1,191.8,350,50,246,50,20369
AK,2017,<15,3.6,NA,NA,NA,20,NA,NA,NA,4772
AK,2017,15-17,13.5,3.6,8,446.1,190,50,114,30,14246
AK,2017,18-19,70.2,12.2,47.3,258.2,550,100,372,80,7864
AK,2017,20-24,135,16.8,97.1,173.1,3140,390,2259,490,23263
AK,2017,25-29,152.7,13.1,115.2,114,4470,380,3369,710,29239
AK,2017,30-34,132.8,11.2,100.4,111.6,3620,310,2735,580,27239
AK,2017,35-39,71.1,5.8,53.9,108.4,1720,140,1303,270,24180
AK,2017,40>,19.1,2,14.1,141.7,390,40,287,60,20338
AZ,1988,<15,14.4,5.5,6.9,791.1,330,130,159,40,22887
AZ,1988,15-17,79.3,23.7,44.3,535.4,5910,1770,3305,840,74560
AZ,1988,18-19,192.3,61.1,104.3,586.3,10320,3280,5595,1450,53668
AZ,1988,20-24,228.7,53.8,141.2,381.2,31400,7390,19394,4620,137335
AZ,1988,25-29,191,33.1,128.8,257.3,30460,5280,20539,4640,159436
AZ,1988,30-34,114.7,18.7,78.4,238.2,17440,2840,11925,2670,152061
AZ,1988,35-39,46.6,9.3,30.4,305.2,6240,1240,4064,940,133900
AZ,1988,40>,9.5,2.4,5.7,414.4,1060,270,642,160,111670
AZ,1992,<15,14.8,5.6,7.2,768.8,380,140,188,50,25934
AZ,1992,15-17,81.8,19.3,50.5,381.4,6220,1470,3842,910,76048
AZ,1992,18-19,205,50.1,124.9,401.2,10350,2530,6305,1510,50471
AZ,1992,20-24,225.2,52.5,139.5,376.6,31640,7380,19597,4660,140493
AZ,1992,25-29,182.5,31.2,123.5,252.5,28360,4850,19190,4320,155417
AZ,1992,30-34,116.1,17.4,80.8,214.9,19490,2920,13567,3000,167869
AZ,1992,35-39,52.6,10,34.7,289.5,8020,1530,5285,1210,152478
AZ,1992,40>,10.8,2.9,6.3,455,1450,390,855,210,134897
AZ,1996,<15,12.8,4.3,6.8,633.7,410,140,217,60,32066
AZ,1996,15-17,76.2,18.4,46.6,396,7080,1710,4326,1040,92890
AZ,1996,18-19,174,38.7,109.5,353.5,10620,2360,6683,1570,61022
AZ,1996,20-24,215.4,42.1,140.9,298.5,32210,6290,21074,4840,149522
AZ,1996,25-29,172,27.1,118.5,228.9,29300,4620,20180,4500,170333
AZ,1996,30-34,114.5,15,81.7,183.2,20950,2740,14948,3260,183034
AZ,1996,35-39,53.7,9.7,35.9,271.9,9880,1790,6589,1500,183785
AZ,1996,40>,12.7,2.8,7.9,358.6,2080,470,1305,310,164465
AZ,2000,<15,10.9,3.3,6,542.4,390,120,218,60,36084
AZ,2000,15-17,63.2,12.9,40.9,315.9,6650,1360,4296,990,105120
AZ,2000,18-19,163.5,33.7,105.4,320.1,11990,2470,7722,1790,73295
AZ,2000,20-24,203.4,34.5,137.9,250.6,35380,6010,23976,5400,173916
AZ,2000,25-29,180.2,22.3,129.7,172.3,32150,3990,23136,5030,178397
AZ,2000,30-34,126.6,14.2,92.5,153.3,22460,2520,16411,3530,177429
AZ,2000,35-39,57,7.5,40.6,183.5,11000,1440,7850,1710,193155
AZ,2000,40>,13.6,2.7,8.8,308.7,2560,510,1664,380,188420
AZ,2005,<15,8.1,2.5,4.4,566.8,340,110,186,50,41922
AZ,2005,15-17,51.2,9.2,34.3,267.6,6290,1130,4212,960,122903
AZ,2005,18-19,150.6,31.2,96.9,322.1,11840,2450,7616,1770,78594
AZ,2005,20-24,198,34.5,133.4,258.4,39440,6870,26573,6000,199191
AZ,2005,25-29,181.5,21.4,131.6,162.6,36860,4350,26730,5780,203100
AZ,2005,30-34,140.1,13.8,104.1,132.2,26770,2630,19895,4240,191103
AZ,2005,35-39,65.1,8.2,46.8,175.2,12520,1580,8992,1960,192268
AZ,2005,40>,14.8,2.9,9.6,304.6,3060,610,1995,460,206736
AZ,2006,<15,8.1,2.9,4,728.2,340,130,172,50,42550
AZ,2006,15-17,51.5,8.7,34.9,250.4,6590,1120,4466,1010,127834
AZ,2006,18-19,153,27.3,102.5,266.4,12480,2230,8358,1890,81548
AZ,2006,20-24,204,31.7,140.9,225.1,41080,6390,28379,6310,201354
AZ,2006,25-29,180.8,19.1,133.2,143.5,38960,4120,28695,6150,215474
AZ,2006,30-34,140.9,13,105.5,123.2,27200,2510,20367,4320,192985
