state,year,Age,PregnancyRate,AbortionRate,BirthRate,AbortionRatio,Pregnancies,Abortions,Births,Miscarriages,Population
KS,1988,30-34,95.2,7.1,72.8,98,9910,740,7578,1590,104125
KS,1988,35-39,32.5,4,23.4,171.7,2980,370,2146,470,91703
KS,1988,40>,6.3,1.2,4.1,301.8,480,90,314,70,76672
KS,1992,<15,9.4,4.2,3.9,1076.2,160,70,68,20,17330
KS,1992,15-17,53.9,16,30.2,531.7,2740,820,1536,390,50911
KS,1992,18-19,147.2,29.9,95.3,313.2,4790,970,3104,720,32558
KS,1992,20-24,176.2,27.9,121.3,230,15570,2460,10715,2390,88335
KS,1992,25-29,163.5,14.6,122.8,119.2,15050,1350,11308,2400,92082
KS,1992,30-34,100.8,8.2,76.5,106.6,10580,860,8035,1690,104975
KS,1992,35-39,38.2,4.7,27.5,171.1,3930,480,2833,620,102975
KS,1992,40>,7.2,1.4,4.8,290.4,650,120,428,100,90034
KS,1996,<15,8,3.1,3.8,804.1,160,60,76,20,19844
KS,1996,15-17,46.5,12.1,27.7,436.1,2720,710,1619,390,58451
KS,1996,18-19,127.5,24.8,83.5,297,4730,920,3095,710,37047
KS,1996,20-24,165.9,26.3,114.2,230,13860,2190,9536,2130,83531
KS,1996,25-29,159.8,16.6,118,140.4,14190,1470,10473,2240,88772
KS,1996,30-34,108.6,8.9,82.3,108.3,10440,860,7912,1670,96117
KS,1996,35-39,43.1,5.2,31.1,168.3,4670,570,3373,730,108343
KS,1996,40>,8.5,1.6,5.6,292.4,860,170,567,130,102052
KS,2000,<15,6.3,2.7,2.8,950.1,130,50,56,20,20016
KS,2000,15-17,35.5,7.6,22.6,337.7,2170,470,1379,320,61125
KS,2000,18-19,117.8,19.3,80.5,239.9,4870,800,3327,750,41329
KS,2000,20-24,172.8,23.9,122,195.9,15890,2200,11222,2460,91953
KS,2000,25-29,175.8,16.8,131.1,128.2,14660,1400,10934,2330,83385
KS,2000,30-34,126.5,9.7,96.6,100.2,10930,840,8339,1750,86356
KS,2000,35-39,47.6,4.9,35.1,140.7,4910,510,3627,780,103211
KS,2000,40>,10.6,1.7,7.3,226.3,1130,180,782,170,106678
KS,2005,<15,4.6,1.6,2.4,640,90,30,47,10,19387
KS,2005,15-17,29.2,5.7,19.1,297.5,1760,340,1154,270,60328
KS,2005,18-19,101.8,14.9,71.1,209.6,4150,610,2901,640,40782
KS,2005,20-24,153.7,18.8,110.9,169.7,15860,1940,11441,2480,103199
KS,2005,25-29,188.6,16.1,142.4,113.4,15420,1320,11643,2460,81791
KS,2005,30-34,125.5,8.9,96.4,92.7,10710,760,8225,1720,85316
KS,2005,35-39,56.9,5.2,42.6,122.9,4910,450,3680,780,86296
KS,2005,40>,11.1,1.6,7.8,204.2,1140,160,797,180,102068
KS,2006,<15,5.4,1.7,2.9,596.5,110,30,57,10,19759
KS,2006,15-17,29.5,5.8,19.2,304.1,1770,350,1153,270,60004
KS,2006,18-19,104.4,15,73.3,204.6,4210,600,2956,650,40349
KS,2006,20-24,156.1,18.6,113,164.6,16000,1910,11588,2510,102516
KS,2006,25-29,191.8,16.1,145.1,111,16300,1370,12328,2600,84961
KS,2006,30-34,130.2,9.3,99.9,93.5,10840,780,8323,1740,83278
KS,2006,35-39,57.7,5.6,42.9,130,5020,490,3741,800,87122
KS,2006,40>,11.7,1.4,8.4,171.6,1140,140,822,180,97629
KS,2007,<15,4.7,1.5,2.5,606.5,90,30,48,10,19180
KS,2007,15-17,31.4,5.4,21.2,254.3,1890,320,1276,290,60169
KS,2007,18-19,105.2,14.8,74.1,199,4250,600,2995,660,40394
KS,2007,20-24,160.5,19.6,115.8,169,16130,1970,11639,2520,100468
KS,2007,25-29,189.4,15.3,143.8,106.4,16910,1370,12841,2700,89290
KS,2007,30-34,133.6,9.4,102.7,91.5,11190,790,8605,1800,83766
KS,2007,35-39,58.5,5.4,43.8,123.9,5100,470,3815,810,87104
KS,2007,40>,12.1,1.9,8.4,226.6,1140,180,785,170,93824
KS,2008,<15,4.4,1.6,2.1,775.3,80,30,40,10,18818
KS,2008,15-17,31.6,5.3,21.5,248.1,1860,310,1261,280,58771
KS,2008,18-19,107.8,14.5,76.5,190.1,4430,600,3142,690,41052
KS,2008,20-24,160,19.7,115.3,170.4,16030,1970,11552,2510,100164
KS,2008,25-29,181.8,14.8,137.9,107.2,16840,1370,12778,2690,92649
KS,2008,30-34,134.2,9.5,103.1,92.1,11300,800,8687,1820,84239
KS,2008,35-39,55.6,5.2,41.6,124.4,4860,450,3632,770,87348
KS,2008,40>,11.7,1.6,8.3,187.6,1040,140,741,160,89445
KS,2009,<15,3.5,1.2,1.9,613,70,20,36,NA,19172
KS,2009,15-17,28.6,4.3,19.9,214.9,1670,250,1163,260,58454
KS,2009,18-19,103.6,11.9,75.5,157.1,4210,480,3070,660,40675
KS,2009,20-24,154,16.2,113.4,142.9,15250,1600,11234,2410,99024
KS,2009,25-29,175,12.8,134.1,95.3,16730,1220,12820,2690,95594
KS,2009,30-34,130.9,8.1,101.7,79.4,11350,700,8815,1830,86674
KS,2009,35-39,54.1,4.8,40.7,117.8,4650,410,3495,740,85967
KS,2009,40>,12.2,1.6,8.8,178.9,1070,140,763,170,87182
KS,2010,<15,3.3,0.9,1.9,505.3,60,20,36,NA,19196
KS,2010,15-17,26.3,2.9,19.2,153.5,1520,170,1113,240,57976
KS,2010,18-19,91.3,9.1,67.8,133.9,3710,370,2752,590,40595
KS,2010,20-24,146,13.5,109.2,123.9,14470,1340,10832,2300,99149
KS,2010,25-29,167.4,10.4,130,80.3,16230,1010,12596,2620,96917
KS,2010,30-34,127.3,6.8,99.8,68.6,11360,610,8908,1840,89215
KS,2010,35-39,55.2,4.1,42.3,96.4,4700,350,3595,750,85027
KS,2010,40>,12.9,1.4,9.4,147.7,1110,120,817,180,86552
KS,2011,<15,4.2,0.8,2.7,296.4,80,20,52,10,19056
KS,2011,15-17,21.5,2.6,15.5,168.1,1240,150,896,190,57710
KS,2011,18-19,86.4,8.4,64.3,130,3490,340,2597,550,40386
KS,2011,20-24,137.6,13,102.8,126.1,13750,1300,10273,2180,99964
KS,2011,25-29,167.1,10.3,129.8,79,16140,990,12545,2610,96621
KS,2011,30-34,126.3,6.7,99.1,68,11550,620,9057,1870,91380
KS,2011,35-39,54.3,4,41.6,96.2,4540,330,3480,730,83656
KS,2011,40>,11.9,1.5,8.6,176.9,1030,130,742,160,86756
KS,2012,<15,2.5,0.7,1.4,467.9,50,10,28,NA,19325
KS,2012,15-17,20.2,2.5,14.5,175.5,1160,150,833,180,57483
KS,2012,18-19,84.4,8.6,62.5,137.1,3340,340,2473,530,39585
KS,2012,20-24,133.6,12.6,99.8,126.1,13700,1290,10233,2180,102534
KS,2012,25-29,171.4,10.5,133.3,78.4,16390,1000,12741,2650,95590
KS,2012,30-34,129.6,6.7,101.8,65.8,12090,630,9499,1960,93273
KS,2012,35-39,58.5,4.4,44.8,98.1,4900,370,3744,790,83657
KS,2012,40>,12.5,1.4,9.1,157.2,1080,120,790,170,86582
KS,2013,<15,2.4,0.5,1.6,336,50,10,30,NA,19319
KS,2013,15-17,17.5,2.2,12.6,175.6,1010,130,722,160,57469
KS,2013,18-19,73.6,7.5,54.5,137.9,2900,300,2147,460,39424
KS,2013,20-24,124.9,12.6,92.5,136.5,12940,1310,9582,2050,103611
KS,2013,25-29,168.6,10.9,130.5,83.4,15800,1020,12233,2550,93730
KS,2013,30-34,129.9,7.2,101.6,71.3,12330,690,9646,2000,94957
KS,2013,35-39,57,4.3,43.6,97.9,4830,360,3691,770,84638
KS,2013,40>,12.6,1.5,9.2,160.9,1090,130,788,170,85876
KS,2014,<15,1.9,NA,1.2,NA,40,NA,24,NA,19631
KS,2014,15-17,16.2,1.8,11.9,151.6,930,100,684,150,57666
KS,2014,18-19,69.4,7.6,50.9,149,2710,300,1990,430,39097
KS,2014,20-24,120.5,11.8,89.6,131.9,12570,1230,9347,1990,104342
KS,2014,25-29,171.7,10.8,133.2,81.1,15870,1000,12311,2560,92439
KS,2014,30-34,136.5,6.8,107.5,63.4,13080,650,10301,2130,95823
KS,2014,35-39,58.5,4.4,44.7,98,5040,380,3851,810,86139
KS,2014,40>,11.9,1.6,8.5,183.4,1000,130,715,160,84295
KS,2015,<15,1.3,NA,0.7,NA,20,NA,14,NA,19477
KS,2015,15-17,13.7,1.6,9.9,163.3,790,90,576,120,58182
KS,2015,18-19,66.3,6.5,49.2,133,2560,250,1903,410,38662
KS,2015,20-24,118,11,88.2,124.9,12390,1160,9264,1970,104993
KS,2015,25-29,172.5,10.5,134.1,78.2,15890,970,12357,2570,92120
KS,2015,30-34,136,7.1,106.9,66,13050,680,10256,2120,95981
KS,2015,35-39,59.4,4.4,45.5,96.7,5250,390,4017,840,88363
KS,2015,40>,12.7,1.4,9.3,155.7,1050,120,767,170,82623
KS,2016,<15,1.8,NA,1.2,NA,30,NA,22,NA,19023
KS,2016,15-17,13.1,1.6,9.5,165.7,760,90,551,120,58296
KS,2016,18-19,55.7,6.1,40.8,149,2150,230,1574,340,38540
KS,2016,20-24,111.9,10.4,83.7,124.2,11620,1080,8696,1850,103903
KS,2016,25-29,165.3,10.6,128.1,82.6,15250,980,11816,2460,92246
KS,2016,30-34,139.1,6.7,109.7,61.1,13290,640,10489,2160,95583
KS,2016,35-39,59.4,4,45.8,87.8,5380,360,4148,870,90566
KS,2016,40>,12.9,1.6,9.3,169.3,1050,130,757,160,81101
KS,2017,<15,1.4,NA,0.7,NA,30,NA,13,NA,19539
KS,2017,15-17,11.2,1.5,7.9,194.1,650,90,459,100,57875
KS,2017,18-19,57.4,7,41.4,170.1,2220,270,1598,350,38591
KS,2017,20-24,105.4,10.5,78.2,134.4,10780,1070,7999,1710,102277
KS,2017,25-29,160,10.5,123.7,84.8,14880,980,11507,2400,92998
KS,2017,30-34,135,6.5,106.6,60.9,12690,610,10015,2060,93972
KS,2017,35-39,58.8,4,45.4,88.2,5410,370,4173,870,91989
KS,2017,40>,12.8,1.5,9.3,165.3,1040,120,755,160,81222
KY,1988,<15,13,5.2,6,865,340,140,157,40,25990
KY,1988,15-17,65.4,17.3,38.6,448.8,5470,1450,3229,790,83564
KY,1988,18-19,142.1,28.5,92.3,308.2,8370,1680,5441,1260,58919
KY,1988,20-24,160.3,22.9,112.6,203.6,23520,3360,16519,3640,146751
KY,1988,25-29,124.7,11.2,93.7,119.1,19880,1780,14936,3170,159368
KY,1988,30-34,69.1,6.6,51.5,129.1,10800,1040,8051,1710,156365
KY,1988,35-39,24.1,3.7,16.7,218.3,3430,520,2380,530,142300
KY,1988,40>,4.5,1,2.8,370.8,550,130,345,80,122280
KY,1992,<15,14.7,6,6.7,888.1,400,160,183,50,27151
KY,1992,15-17,63.2,15.1,38.9,388.2,5060,1210,3112,740,80078
KY,1992,18-19,151.5,25.5,102.9,248.1,8250,1390,5598,1260,54410
KY,1992,20-24,171.5,23.7,121.2,195.3,24640,3400,17414,3820,143655
KY,1992,25-29,137.8,12.7,103.2,123.3,19970,1840,14950,3170,144918
KY,1992,30-34,76.3,7,57.2,122.6,12150,1120,9104,1930,159177
KY,1992,35-39,27.3,3.6,19.4,185.6,4210,560,3001,660,154576
KY,1992,40>,5.4,1.2,3.4,361.4,760,170,478,110,141407
KY,1996,<15,10.9,2.9,6.4,457,310,80,180,40,28161
KY,1996,15-17,52.6,7.7,36.8,209.7,4510,660,3154,700,85741
KY,1996,18-19,137.2,18.4,97.5,188.3,7920,1060,5632,1230,57750
KY,1996,20-24,157.9,19.6,113.6,172.3,21740,2700,15645,3400,137665
KY,1996,25-29,136.6,12.5,102.4,122.3,19240,1760,14419,3060,140845
KY,1996,30-34,80.3,6,61.5,97.4,12370,920,9463,1980,153988
KY,1996,35-39,30.2,3.3,22.1,151.7,4950,550,3623,780,164116
KY,1996,40>,5.7,1,3.8,263.4,880,160,590,130,153673
KY,2000,<15,8,2,4.8,416.2,220,50,130,30,27104
KY,2000,15-17,40.2,4.8,29,166.8,3320,400,2403,520,82795
KY,2000,18-19,124.4,13.1,91.6,143.5,7290,770,5372,1150,58655
KY,2000,20-24,168.2,16.5,125.1,131.8,23590,2310,17539,3740,140243
KY,2000,25-29,147.6,11.2,112.8,99.2,20400,1550,15581,3270,138170
KY,2000,30-34,90.7,6.5,69.6,93.8,13000,940,9977,2090,143373
KY,2000,35-39,35.1,3.2,26.3,123.3,5690,530,4258,900,161892
KY,2000,40>,6.9,1.1,4.7,228.2,1120,180,769,170,162880
KY,2005,<15,4.8,1.3,2.8,471,140,40,79,20,28489
KY,2005,15-17,33.4,4.2,24,175.2,2800,350,2013,440,83884
KY,2005,18-19,111.5,9.4,84.3,111.6,6230,530,4713,1000,55897
KY,2005,20-24,156.2,14.1,117.3,120,22910,2060,17197,3650,146652
KY,2005,25-29,154.9,10.2,119.7,85.6,21110,1400,16315,3400,136318
KY,2005,30-34,100.1,6.4,77.5,83,13940,900,10794,2250,139196
KY,2005,35-39,41.3,4.1,30.7,132.4,5970,590,4436,950,144574
KY,2005,40>,8,1.2,5.6,223.6,1300,200,897,200,161375
KY,2006,<15,5,1.5,2.8,529.6,140,40,80,20,28368
KY,2006,15-17,35.2,4.2,25.5,163.6,3020,360,2187,470,85654
KY,2006,18-19,124.5,11.4,93.3,122.2,6970,640,5225,1110,56003
KY,2006,20-24,163,13.7,123.3,111.3,23250,1960,17582,3710,142648
KY,2006,25-29,154.8,10.4,119.5,86.8,21950,1470,16944,3540,141836
KY,2006,30-34,102.2,6.5,79.2,81.5,13810,870,10711,2230,135155
KY,2006,35-39,42.2,3.9,31.6,124.2,6170,570,4613,980,146160
KY,2006,40>,8.1,1.1,5.7,188.4,1280,170,908,200,158607
KY,2007,<15,6.8,2.6,3.3,766.9,190,70,93,30,27848
KY,2007,15-17,35.2,4.7,25,188.7,3050,410,2164,470,86561
KY,2007,18-19,125.7,11.3,94.4,119.5,7170,640,5383,1140,56998
KY,2007,20-24,167.1,13.7,126.7,108,23710,1940,17977,3790,141866
KY,2007,25-29,156.8,9.8,121.7,80.5,22510,1410,17472,3640,143615
KY,2007,30-34,103.1,6.6,79.9,82.7,13770,880,10670,2220,133606
KY,2007,35-39,42.3,3.7,31.8,117.1,6190,550,4658,990,146307
KY,2007,40>,8.9,1.4,6.2,222.1,1370,210,951,210,154527
KY,2008,<15,6.1,1.9,3.4,568.8,170,50,92,20,27382
KY,2008,15-17,34.4,4.2,24.8,171.3,2970,370,2139,460,86374
KY,2008,18-19,124.2,11.2,93.3,119.7,7320,660,5497,1170,58946
KY,2008,20-24,165.4,15,124.1,120.8,23320,2110,17496,3710,141002
KY,2008,25-29,151.7,10.7,116.6,91.9,21920,1550,16848,3520,144511
KY,2008,30-34,103.9,6.9,80.3,85.4,13960,920,10788,2250,134374
KY,2008,35-39,41.7,3.6,31.4,116.1,6070,530,4573,970,145641
KY,2008,40>,8.9,1.3,6.2,203.2,1340,190,942,210,151131
KY,2009,<15,5.1,1.5,2.9,524.2,140,40,80,20,27776
KY,2009,15-17,34.6,4.7,24.5,190.4,2930,400,2080,460,84806
KY,2009,18-19,114,10.6,85.2,124.6,6860,640,5128,1090,60171
KY,2009,20-24,161.2,13.7,121.7,112.8,22780,1940,17208,3640,141342
KY,2009,25-29,151.1,10.2,116.6,87.1,21670,1460,16723,3490,143448
KY,2009,30-34,104.5,6.7,80.9,83.3,14220,920,11009,2290,136014
KY,2009,35-39,41.2,3.9,30.7,128.3,5900,560,4400,940,143364
KY,2009,40>,9.1,1.5,6.3,232.1,1340,210,923,210,147359
KY,2010,<15,4.5,1.3,2.5,505.6,120,30,69,20,27145
KY,2010,15-17,30.6,3.9,21.9,178.2,2580,330,1847,400,84153
KY,2010,18-19,107,9.4,80.6,116.6,6430,560,4837,1020,60026
KY,2010,20-24,152.2,13.4,114.6,116.9,21940,1930,16514,3500,144155
KY,2010,25-29,147.5,9.7,114.1,85.1,20870,1370,16133,3360,141448
KY,2010,30-34,102.5,6.8,79.2,85.6,14310,950,11061,2310,139591
KY,2010,35-39,41.6,4,31,129.6,5860,570,4366,930,140919
KY,2010,40>,9.5,1.5,6.6,225,1390,220,957,210,145744
KY,2011,<15,3.8,1.2,2,577.8,100,30,56,10,27403
KY,2011,15-17,27.5,3.7,19.6,186.9,2290,300,1629,360,83160
KY,2011,18-19,103.1,9.2,77.5,118.1,5960,530,4482,950,57830
KY,2011,20-24,144.3,12.8,108.5,117.7,21520,1900,16185,3430,149157
KY,2011,25-29,150.1,9.8,116.1,84.2,20980,1370,16227,3380,139710
KY,2011,30-34,103.5,6.3,80.5,78.1,14700,890,11434,2380,142014
KY,2011,35-39,42.9,4.1,32,128.6,5890,560,4393,940,137335
KY,2011,40>,9.5,1.5,6.6,233.4,1400,230,964,220,147120
KY,2012,<15,3.9,1.3,2,633.2,110,40,57,20,27861
KY,2012,15-17,24.6,2.8,17.9,158.1,2030,230,1479,320,82506
KY,2012,18-19,99.5,8.3,75.3,110.1,5560,460,4210,890,55916
KY,2012,20-24,142,11.7,107.6,109,21700,1790,16440,3470,152852
KY,2012,25-29,154.5,10.1,119.5,84.4,21300,1390,16477,3430,137862
KY,2012,30-34,105.9,6.2,82.6,75.1,15120,880,11785,2450,142675
KY,2012,35-39,43,3.9,32.2,121.8,5840,530,4375,930,135770
KY,2012,40>,8.9,1.1,6.4,179.1,1310,170,935,200,147047
KY,2013,<15,2.9,0.8,1.6,495.5,80,20,46,10,28064
KY,2013,15-17,22.5,2.4,16.6,146.2,1870,200,1374,290,83008
KY,2013,18-19,96.3,8.3,72.7,114.4,5350,460,4036,850,55553
KY,2013,20-24,138,11.3,104.7,107.9,21390,1750,16224,3420,155005
KY,2013,25-29,152.4,8.8,119,73.8,20920,1210,16328,3390,137225
KY,2013,30-34,108.3,6.4,84.4,75.7,15500,910,12077,2510,143112
KY,2013,35-39,44.6,3.4,34,100.6,6050,460,4616,970,135761
KY,2013,40>,9.3,1.1,6.8,163.4,1360,160,985,210,145597
KY,2014,<15,2.9,0.9,1.6,568.3,80,30,45,10,28357
KY,2014,15-17,20.4,2.6,14.7,173.8,1710,210,1229,270,83620
KY,2014,18-19,88.1,7.3,66.7,109.7,4820,400,3648,770,54658
KY,2014,20-24,137.6,10.7,104.9,102.2,21210,1650,16161,3400,154121
KY,2014,25-29,156,9.5,121.4,77.9,21710,1310,16887,3510,139138
KY,2014,30-34,111.8,6.1,87.6,69.6,15870,870,12432,2570,141952
KY,2014,35-39,46.9,3.8,35.6,108.1,6410,530,4859,1020,136655
KY,2014,40>,9,1.3,6.4,200.3,1290,180,909,200,142824
KY,2015,<15,3.1,0.9,1.8,492.9,90,20,50,10,27840
KY,2015,15-17,17.9,1.9,13.2,141.7,1520,160,1120,240,84627
KY,2015,18-19,81.1,6.6,61.6,106.5,4460,360,3383,710,54915
KY,2015,20-24,136.9,10.6,104.4,101.4,20660,1600,15756,3310,150911
KY,2015,25-29,155.4,9.2,121.1,75.9,22160,1310,17267,3580,142624
KY,2015,30-34,112.4,5.8,88.4,65.1,15680,800,12329,2550,139535
KY,2015,35-39,47.6,3.2,36.7,87.1,6600,440,5095,1060,138828
KY,2015,40>,10,1.5,6.9,218.9,1400,210,971,220,139936
KY,2016,<15,2.7,0.8,1.5,500.6,70,20,42,10,27171
KY,2016,15-17,16.4,1.7,12,144.6,1380,150,1018,220,84558
KY,2016,18-19,78.4,6,59.8,100.7,4340,330,3313,700,55417
KY,2016,20-24,131.3,9.5,100.7,94,19340,1390,14835,3110,147322
KY,2016,25-29,149.6,8.9,116.5,76.3,22040,1310,17169,3560,147394
KY,2016,30-34,117.8,5.7,93,60.9,16210,780,12797,2640,137595
KY,2016,35-39,49.2,3.6,37.7,94.5,6930,500,5312,1110,140856
KY,2016,40>,9.8,1.1,7.1,160.1,1330,150,963,210,135821
KY,2017,<15,2.3,0.7,1.3,538.8,60,20,36,NA,27535
KY,2017,15-17,NA,NA,10.4,NA,NA,NA,870,NA,83811
KY,2017,18-19,NA,NA,56.9,NA,NA,NA,3190,NA,56073
KY,2017,20-24,129.4,9.2,99.4,92.4,18830,1340,14468,3030,145533
KY,2017,25-29,147,9,114.3,78.7,22170,1360,17228,3580,150769
KY,2017,30-34,117.9,6.3,92.4,68.5,16090,860,12620,2610,136521
KY,2017,35-39,49.6,3.9,37.7,104.3,7010,560,5334,1120,141448
KY,2017,40>,10.4,1.3,7.5,176.5,1400,180,1006,220,134368
LA,1988,<15,20.8,6.4,11.5,559.5,680,210,372,100,32400
LA,1988,15-17,68.9,13.8,44.7,308.9,7120,1430,4622,1070,103295
LA,1988,18-19,161.7,35.4,102.3,345.6,11670,2550,7387,1730,72197
LA,1988,20-24,189.1,30.2,129.9,232.6,33540,5360,23037,5140,177343
LA,1988,25-29,160.9,19.7,116.1,169.5,30270,3700,21836,4740,188159
LA,1988,30-34,92.6,12.4,65.8,187.9,17130,2290,12180,2660,184966
LA,1988,35-39,36.7,7.4,23.8,310.8,5940,1200,3850,890,161783
LA,1988,40>,7.9,2.2,4.6,480.8,1070,300,618,150,135078
LA,1992,<15,20.3,5.5,11.9,457.6,680,180,398,100,33355
LA,1992,15-17,72.7,9.2,52.2,175.4,7060,890,5071,1100,97133
LA,1992,18-19,160.5,24.2,111.6,216.7,10530,1590,7321,1620,65629
LA,1992,20-24,183.8,24.5,130.7,187.5,30660,4090,21803,4770,166835
LA,1992,25-29,152.7,14.7,113.8,128.9,25520,2450,19017,4050,167127
LA,1992,30-34,88.5,8.5,65.9,129.4,16200,1560,12067,2570,183128
LA,1992,35-39,34.4,4.5,24.5,183.2,6110,800,4361,950,177796
LA,1992,40>,6.9,1.6,4.3,359.2,1070,240,669,160,154456
LA,1996,<15,17.1,4.4,10.3,425.2,620,160,373,90,36281
LA,1996,15-17,62,10,42.6,233.8,6710,1080,4607,1030,108226
LA,1996,18-19,150.9,23.8,103.9,229.1,10660,1680,7338,1640,70623
LA,1996,20-24,175.1,28.5,119.8,237.8,27780,4520,19003,4250,158638
LA,1996,25-29,145.5,17.8,104.9,169.7,23100,2830,16656,3610,158742
LA,1996,30-34,92.3,9.3,68.4,135.3,15620,1570,11579,2470,169186
LA,1996,35-39,36.6,5.2,25.7,204.3,6770,970,4751,1050,185101
LA,1996,40>,8.3,1.8,5.3,343.7,1420,310,897,210,170093
LA,2000,<15,13.1,3.3,7.9,421.9,460,120,274,70,34788
LA,2000,15-17,49.8,6.6,35.4,187.2,5340,710,3796,830,107150
LA,2000,18-19,140.1,18,100.2,180,10450,1350,7473,1630,74587
LA,2000,20-24,185.8,25.1,131.8,190.5,30750,4150,21813,4780,165522
LA,2000,25-29,154.2,17.6,112.3,156.7,23060,2630,16800,3620,149546
LA,2000,30-34,100.5,8.8,75.7,116.8,15590,1370,11738,2480,155127
LA,2000,35-39,39.6,4.6,28.8,159.1,6950,800,5055,1090,175685
LA,2000,40>,7.9,1.4,5.3,259.5,1410,250,949,210,178312
LA,2005,<15,9.1,2.7,5.1,523,310,90,172,40,33537
LA,2005,15-17,35.3,5.1,24.8,204.7,3600,520,2527,560,101907
LA,2005,18-19,113.6,15.9,80.1,198.9,7980,1120,5624,1240,70248
LA,2005,20-24,155.5,20.3,111,183,28040,3660,20007,4370,180269
LA,2005,25-29,145.6,16.2,106.4,152.7,22980,2560,16798,3620,157865
LA,2005,30-34,93.9,9,70,128.5,13710,1310,10223,2180,146036
LA,2005,35-39,41.2,5.1,29.7,170.2,6320,780,4555,990,153221
LA,2005,40>,9,1.7,6,281.3,1560,290,1031,240,173090
LA,2006,<15,10.9,3.2,6.1,531.8,340,100,188,50,30888
LA,2006,15-17,40.1,6.3,27.7,226.6,3840,600,2651,590,95858
LA,2006,18-19,131.5,19.3,91.9,210.3,8560,1260,5977,1320,65047
LA,2006,20-24,180.9,24.2,128.6,187.9,29640,3960,21072,4610,163849
LA,2006,25-29,160.1,18.3,116.7,156.4,24210,2760,17644,3800,151176
LA,2006,30-34,106.1,10.7,78.6,136.1,13870,1400,10274,2190,130715
LA,2006,35-39,45,6,32.1,185.5,6430,850,4577,1000,142649
LA,2006,40>,9.6,1.9,6.3,296.6,1520,290,993,230,158571
LA,2007,<15,11.2,4.1,5.6,725.6,340,120,171,50,30570
LA,2007,15-17,41.9,7.1,28.4,251.5,4020,690,2725,610,96096
LA,2007,18-19,135.3,20.5,94,218.1,9000,1360,6249,1390,66484
LA,2007,20-24,188.7,28.2,131.4,214.7,31270,4680,21775,4820,165712
LA,2007,25-29,163.3,18.9,118.7,159.6,25740,2990,18711,4040,157643
LA,2007,30-34,111.3,11.6,82.1,140.7,14690,1530,10847,2320,132058
LA,2007,35-39,47.4,6.1,33.9,179.8,6770,870,4840,1060,142808
LA,2007,40>,9.7,1.9,6.3,293.9,1500,290,983,230,154959
LA,2008,<15,10,4.1,4.6,907.4,310,130,139,40,30462
LA,2008,15-17,41.3,7.8,27.3,286.4,3930,740,2593,590,95095
LA,2008,18-19,134.5,22.8,91.2,250.5,9180,1560,6224,1400,68262
LA,2008,20-24,184.4,30.7,125.6,244.2,30740,5110,20934,4700,166711
LA,2008,25-29,163.1,21.7,116.1,186.9,26480,3520,18839,4120,162309
LA,2008,30-34,111.2,13.4,80.4,166.2,15060,1810,10891,2360,135490
LA,2008,35-39,46.8,6.7,32.9,203.5,6630,950,4658,1030,141724
LA,2008,40>,10,1.9,6.6,295.1,1510,290,990,230,150951
LA,2009,<15,8.6,3.5,4,869.8,260,100,119,30,29800
LA,2009,15-17,40.1,7.2,26.9,266.2,3780,670,2534,570,94239
LA,2009,18-19,126.4,21.1,85.9,245.9,8650,1450,5879,1320,68420
LA,2009,20-24,175.9,27.2,121.6,223.7,29550,4570,20437,4540,167999
LA,2009,25-29,159.5,19.4,115.2,168.2,26380,3200,19045,4130,165335
LA,2009,30-34,109.4,12.1,80.1,150.6,15490,1710,11341,2440,141579
LA,2009,35-39,46.6,6.7,32.7,204.7,6530,940,4583,1010,140053
LA,2009,40>,10.6,1.9,7,275.8,1560,290,1035,240,147356
LA,2010,<15,8.4,3.2,4.1,776.1,250,90,121,30,29498
LA,2010,15-17,35.9,6.9,23.6,291.1,3330,640,2189,500,92810
LA,2010,18-19,116.5,15.8,82.6,191.7,7760,1050,5500,1210,66608
LA,2010,20-24,161.7,24.1,112.7,214,27550,4110,19191,4250,170318
LA,2010,25-29,152.5,18,110.6,162.6,25430,3000,18439,3990,166676
LA,2010,30-34,105.7,11.5,77.5,148,15730,1710,11545,2480,148883
LA,2010,35-39,44.8,6,31.8,188.6,6220,830,4418,970,138803
LA,2010,40>,10.4,2.2,6.7,325.8,1520,320,976,230,145912
LA,2011,<15,7.9,3.1,3.8,806.1,240,90,113,30,29860
LA,2011,15-17,31.2,5.8,20.7,281.1,2840,530,1881,430,90857
LA,2011,18-19,116.3,16.7,81.6,204.8,7250,1040,5089,1120,62385
LA,2011,20-24,153.2,22.3,107.2,208.4,26710,3900,18689,4130,174375
LA,2011,25-29,152.6,17.6,111.1,158.1,25620,2950,18645,4020,167875
LA,2011,30-34,105.7,10.6,78.4,135.1,16290,1630,12083,2580,154144
LA,2011,35-39,45.6,6.3,32.3,195.7,6250,860,4415,970,136886
LA,2011,40>,10.3,2.1,6.7,314.6,1500,310,973,230,146293
LA,2012,<15,6.9,2.3,3.7,629.3,210,70,110,30,30012
LA,2012,15-17,28.5,4.7,19.4,240.6,2550,420,1740,390,89536
LA,2012,18-19,108.3,13,78.4,165.5,6520,780,4718,1020,60187
LA,2012,20-24,150,19.9,106.8,186,26450,3500,18832,4120,176398
LA,2012,25-29,152.3,17.2,111.1,155.1,25570,2890,18655,4020,167897
LA,2012,30-34,109.3,10.8,81.2,133.1,17300,1710,12846,2740,158297
